Reference, Quantity, Value, Footprint, Datasheet, Cvalue, Description, Height, Manufacturer_Name, Manufacturer_Part_Number, Mouser Part Number, Mouser Price/Stock, Lvalue, Rvalue
C1 ,1,"GRM21BR61C106KE15K","myfootprints:GRM21BR61C106KE15K","https://datasheet.datasheetarchive.com/originals/distributors/Datasheets_SAMA/6b1fcc509e213c6e898acd502ec19ade.pdf","10uF","Murata, 0805 (2012M) 10uF Multilayer Ceramic Capacitor MLCC 16V dc +/-10% , SMD GRM21BR61C106KE15K","1.35","Murata Electronics","GRM21BR61C106KE15K","81-GRM21BR61C106KE5K","https://www.mouser.co.uk/ProductDetail/Murata-Electronics/GRM21BR61C106KE15K?qs=h0WOCFF19ULjTOS37upAEw%3D%3D","",""
C2 C5 ,2,"C2012C0G1H102J060AA","myfootprints:C2012C0G1H102J060AA","https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf","1nF","MULTILAYER CERAMIC CHIP CAPACITORS, 2012, Commercial grade, general (Up to 75V)","0.75","TDK","C2012C0G1H102J060AA","810-C2012C0G1H102J","https://www.mouser.co.uk/ProductDetail/TDK/C2012C0G1H102J060AA?qs=NRhsANhppD9Yg5ECRql%2Fwg%3D%3D","",""
C3 ,1,"GRM32ER71A226KE20L","myfootprints:GRM32ER71A226KE20L","http://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM32ER71A226KE20-01.pdf","22uF","Murata 1210 GRM 22uF Ceramic Multilayer Capacitor, 10 V dc, +125C, X7R Dielectric, +/-10%","2.7","Murata Electronics","GRM32ER71A226KE20L","81-GRM32R71A226KE20L","https://www.mouser.co.uk/ProductDetail/Murata-Electronics/GRM32ER71A226KE20L?qs=IjyrXs0Hof%252B8BiTJdBCHXw%3D%3D","",""
C4 ,1,"C2012X7R1C105K125AA","myfootprints:C2012X7R1C105K125AA","https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf","1uF","0805 X7R ceramic capacitor 16V 1uF TDK C2012 C 1uF Ceramic Multilayer Capacitor, 16 V dc X7R Dielectric +/-10% SMD","0.75","TDK","C2012X7R1C105K125AA","810-C2012X7R1C105K-3","https://www.mouser.co.uk/ProductDetail/TDK/C2012X7R1C105K125AA?qs=LcTL%2F5vFEzETx%252Br1yx%252BqAw%3D%3D","",""
D1 ,1,"STPS2150A","myfootprints:STPS2150A","http://www.st.com/web/en/resource/technical/document/datasheet/CD00003322.pdf","","STPS2150A, Schottky Diode,  2A max, 150V, 2-Pin, SMA","2.65","STMicroelectronics","STPS2150A","511-STPS2150A","https://www.mouser.co.uk/ProductDetail/STMicroelectronics/STPS2150A?qs=JV7lzlMm3yID2fZto%2F5JCQ%3D%3D","",""
IC1 ,1,"SPV1040T","myfootprints:SPV1040T","","","Voltage Regulators - Switching Regulators Hi efficiency solar battery charger","1.2","STMicroelectronics","SPV1040T","511-SPV1040T","https://www.mouser.co.uk/ProductDetail/STMicroelectronics/SPV1040T?qs=7qOP6AeGKU1lga8RjcaFUQ%3D%3D","",""
L1 ,1,"SRU1038-100Y","myfootprints:SRU1038-100Y","","","","","","","","","10uH",""
R1 R2 R3 ,3,"ERA-1AEB102C","myfootprints:ERA-1AEB102C","http://industrial.panasonic.com/cdbs/www-data/pdf/RDM0000/AOA0000C307.pdf","","Thin Film Resistors - SMD 0201 1Kohm 0.1% 25ppm","0.26","Panasonic","ERA-1AEB102C","667-ERA-1AEB102C","https://www.mouser.co.uk/ProductDetail/Panasonic/ERA-1AEB102C?qs=6%252Bc%252B2ke79U6BeTXQY2Cvbw%3D%3D","","1k"
R4 ,1,"WSL2010R1100FEA","myfootprints:WSL2010R1100FEA","https://www.vishay.com/docs/30100/wsl.pdf","","Vishay 110m 2010 (5025M) Metal Strip SMD Resistor +/-1% 0.5W - WSL2010R1100FEA","0.889","Vishay","WSL2010R1100FEA","71-WSL2010R1100FEA","https://www.mouser.co.uk/ProductDetail/Vishay-Dale/WSL2010R1100FEA?qs=8hzcSBZN9d%252BMooM1LU7mjg%3D%3D","","110m"
R5 ,1,"CMP2512-FX-3903ELF","myfootprints:CMP2512-FX-3903ELF","https://www.bourns.com/docs/Product-Datasheets/CMP.pdf","","Thick Film Resistors - SMD ResHighPower 2512 390k 1% 1.5W TC100","0.75","Bourns","CMP2512-FX-3903ELF","652-CMP2512-FX-3903L","https://www.mouser.co.uk/ProductDetail/Bourns/CMP2512-FX-3903ELF?qs=TiOZkKH1s2Qkwis624hFDA%3D%3D","","390k"
